(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
 (0.8878614 , 0.811  , 0.80985383, 0.41495109, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.9_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88591384, 0.811  , 0.81067288, 0.42157587, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88542969, 0.812  , 0.80833333, 0.42044562, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.9_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88459339, 0.811  , 0.80960181, 0.42032465, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.8_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88429778, 0.81   , 0.80575857, 0.4269701 , 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.8_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88425176, 0.811  , 0.81060988, 0.41614375, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88351472, 0.803  , 0.8024375 , 0.42259744, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.8_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88226157, 0.808  , 0.80690104, 0.4246738 , 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88153198, 0.805  , 0.80405746, 0.42659851, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.8_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.8805513 , 0.806  , 0.8070625 , 0.42313294, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.8_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88009256, 0.814  , 0.8103125 , 0.43057187, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87919248, 0.803  , 0.80188802, 0.42916811, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87830402, 0.80332, 0.79973958, 0.42869288, 'simple_rnn_kt/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_20_Njets_40000_features_7')
 (0.8781771 , 0.808  , 0.80456149, 0.42726074, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87707101, 0.8075 , 0.8061875 , 0.4341754 , 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87680132, 0.806  , 0.80538054, 0.43635024, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87638226, 0.80581, 0.8060625 , 0.42657503, 'simple_rnn_kt/h_dim__lr_0.002_decay_0.9_batch_128_epochs_30_hidden_20_Njets_40000_features_7')
 (0.87633844, 0.80506, 0.808125  , 0.42347568, 'simple_rnn_kt/h_dim__lr_0.002_decay_0.7_batch_64_epochs_30_hidden_20_Njets_40000_features_7')
 (0.87232572, 0.804  , 0.8000651 , 0.44110769, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.8_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87081889, 0.8    , 0.80040323, 0.4449912 , 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.9_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86991554, 0.799  , 0.79832409, 0.44621532, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86963317, 0.8    , 0.797375  , 0.44471923, 'simple_rnn_kt/lr_batch__lr_0.002_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86758497, 0.798  , 0.7952999 , 0.45020419, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.9_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86558904, 0.802  , 0.8008125 , 0.44219999, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.9_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86473977, 0.797  , 0.79624496, 0.49446894, 'simple_rnn_kt/lr_batch__lr_0.005_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86107085, 0.797  , 0.79391381, 0.45989181, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.85746138, 0.792  , 0.79121094, 0.46552988, 'simple_rnn_kt/lr_batch__lr_0.0005_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.84377194, 0.772  , 0.77070313, 0.47917002, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.9_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.83460628, 0.772  , 0.7734375 , 0.50080443, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.81731103, 0.782  , 0.7806875 , 0.48860285, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.9_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.63306676, 0.621  , 0.623     , 0.64840253, 'simple_rnn_kt/lr_batch__lr_0.01_decay_0.8_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.        , 0.     , 0.8344375 , 0.36071466, 'simple_rnn_kt/h_dim__lr_0.002_decay_0.9_batch_128_epochs_30_hidden_80_Njets_40000_features_7')
 (0.        , 0.     , 0.8111875 , 0.40981027, 'simple_rnn_kt/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_80_Njets_40000_features_7')
 (0.        , 0.     , 0.79625   , 0.44649763, 'simple_rnn_kt/h_dim__lr_0.002_decay_0.7_batch_64_epochs_30_hidden_80_Njets_40000_features_7')]
