(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
 (0.96766046, 0.90931, 0.910875  ,  0.22232613, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.9_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.96711153, 0.9082 , 0.90681704,  0.22150957, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.9_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.9631237 , 0.90169, 0.9021875 ,  0.23998248, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_20_Njets_40000_features_7')
 (0.96189196, 0.89869, 0.89793347,  0.24236026, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.95887473, 0.89581, 0.8936875 ,  0.25284464, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.9_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.94735737, 0.87487, 0.87525   ,  0.28634984, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.9_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
 (0.92857873, 0.84762, 0.850875  ,  0.33203816, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.8_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
 (0.92335423, 0.84337, 0.848     ,  0.34188469, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.8_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.92240605, 0.8405 , 0.8416875 ,  0.34562774, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.8_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
 (0.92184526, 0.84224, 0.83940272,  0.35172086, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0075_decay_0.9_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.91836587, 0.83881, 0.8368125 ,  0.36836848, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_80_Njets_40000_features_7')
 (0.91109985, 0.83077, 0.83555948,  0.36392796, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.9_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.90664952, 0.82194, 0.8233125 ,  0.38367676, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0075_decay_0.9_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
